INFO:aiogram.dispatcher:Start polling
INFO:aiogram.dispatcher:Run polling for bot @RomanVipCeiling_bot id=7372698408 - 'Натяжные потолки Роман'
INFO:aiogram.event:Update id=622181332 is handled. Duration 753 ms by bot id=7372698408
INFO:aiogram.event:Update id=622181333 is handled. Duration 129 ms by bot id=7372698408
INFO:aiogram.event:Update id=622181334 is handled. Duration 88 ms by bot id=7372698408
INFO:aiogram.event:Update id=622181335 is handled. Duration 81 ms by bot id=7372698408
INFO:aiogram.event:Update id=622181336 is handled. Duration 83 ms by bot id=7372698408
INFO:aiogram.event:Update id=622181337 is handled. Duration 141 ms by bot id=7372698408
INFO:aiogram.event:Update id=622181338 is handled. Duration 149 ms by bot id=7372698408
INFO:aiogram.event:Update id=622181339 is handled. Duration 89 ms by bot id=7372698408
INFO:aiogram.event:Update id=622181340 is handled. Duration 91 ms by bot id=7372698408
INFO:aiogram.event:Update id=622181341 is handled. Duration 93 ms by bot id=7372698408
INFO:aiogram.event:Update id=622181342 is handled. Duration 452 ms by bot id=7372698408
INFO:aiogram.event:Update id=622181343 is handled. Duration 229 ms by bot id=7372698408
INFO:aiogram.event:Update id=622181344 is handled. Duration 304 ms by bot id=7372698408
INFO:aiogram.event:Update id=622181345 is handled. Duration 182 ms by bot id=7372698408
